CHI3L1	European	YKL-40 levels
COG6	European	Psoriasis
HYKK	European	Lung cancer
CRPP1 - CRP	European	Lung cancer
IL1RAP	European	Lung cancer
HYKK	European	Lung cancer
CHRNA3	European	Nicotine dependence
CASC8	European	Colorectal cancer
"COLCA1, COLCA2"	European	Colorectal cancer
SMAD7	European	Colorectal cancer
LOC105376400	European	Colorectal cancer
LOC105375712 - EIF3H	European	Colorectal cancer
JAZF1	European	Type 2 diabetes
CDC123 - CAMK1D	European	Type 2 diabetes
LOC105369831 - LOC105369832	European	Type 2 diabetes
THADA	European	Type 2 diabetes
ADAMTS9-AS2	European	Type 2 diabetes
RNF146	Ashkenazi Jewish	Breast cancer
CCDC60	European	Schizophrenia
SLC2A9	European	Urate levels
SLC2A9	European	Urate levels
LOC105371664	European	Celiac disease
IL1RL1 - IL18R1	European	Celiac disease
IL12A-AS1	European	Celiac disease
LPP	European	Celiac disease
"TAGAP, LOC105378083"	European	Celiac disease
MSMB - RPL23AP61	European	Prostate cancer
KLK3 - KLK2	European	Prostate cancer
LOC105369366 - LOC105369367	European	Prostate cancer
SLC22A3	European	Prostate cancer
LMTK2	European	Prostate cancer
CXorf67 - NUDT11	European	Prostate cancer
EHBP1	European	Prostate cancer
MSMB - RPL23AP61	European	Prostate cancer
CTBP2	European	Prostate cancer
LOC105369366 - LOC105369367	European	Prostate cancer
JAZF1	European	Prostate cancer
CELSR2 - PSRC1	European	LDL cholesterol
LCRB	European	Fetal hemoglobin levels
BCL11A	European	Fetal hemoglobin levels
HERC2	European	Iris color
ITGAM	European	Systemic lupus erythematosus
PHRF1	European	Systemic lupus erythematosus
PXK	European	Systemic lupus erythematosus
"LOC100506023, TNFSF4"	European	Systemic lupus erythematosus
FAM167A - BLK	European	Systemic lupus erythematosus
ITGAX	European	Systemic lupus erythematosus
BANK1	European	Systemic lupus erythematosus
"IKZF4, LOC105369781"	European	Type 1 diabetes
MLXIPL	"European , Indian Asian"	Triglycerides
UQCC1	European	Height
LOC105377656 - LOC339978	European	Height
TRR-TCG1-1 - LINC00925	European	Height
ZBTB38	European	Height
HOMER1	European	Height
CELSR2 - PSRC1	European	LDL cholesterol
COL11A2	European	LDL cholesterol
GCKR	European	Triglycerides
TRIB1 - LOC105375746	European	Triglycerides
BCL7B - TBL2	European	Triglycerides
DOCK7	European	Triglycerides
CILP2 - PBX4	European	Triglycerides
CELSR2 - PSRC1	European	LDL cholesterol
SLC2A9	European	Urate levels
DPP6	European	Amyotrophic lateral sclerosis
LOC107983992 - LOC100422334	Japanese	Coronary spasm
SLC2A9	Sardinian	Urate levels
LOC102723649 - LOC442263	European	Rheumatoid arthritis
LOC105369887 - LOC728084	European	Blond vs. brown hair color
LOC105370627	European	Blond vs. brown hair color
LOC105370805 - SLC24A5	South Asian	Skin pigmentation
"TYR, LOC107984363"	South Asian	Skin pigmentation
SLC45A2	South Asian	Skin pigmentation
SMAD7	European	Colorectal cancer
FCER1A - OR10J3	European	Select biomarker traits
OR10J1	European	Select biomarker traits
CRPP1 - CRP	European	Select biomarker traits
LOC101927587	European	Select biomarker traits
ZNF536	European	Select biomarker traits
LOC100128596 - LOC107986849	European	Body mass index
LOC100128596 - LOC107986849	European	Body mass index
STARP1 - HNRNPA3P5	European	Body mass index
GDAP1	European	Waist circumference
RNU6-1200P - LOC100421670	European	Waist circumference
RASL11A - RNU6-70P	European	Electrocardiographic traits
LOC107985947	European	Electrocardiographic traits
LOC105377558 - AGA	European	Heart rate variability traits
DCLK1	European	Heart rate variability traits
LOC107985520 - LOC105378839	European	Cognitive test performance
LOC105377262	European	Cognitive test performance
N6AMT1	European	Cognitive test performance
LOC105378178	European	Cognitive test performance
CDH4	European	Volumetric brain MRI
SLIT2	European	Echocardiographic traits
LOC107986541 - SPACA1	European	Echocardiographic traits
OBFC1	European	Endothelial function traits
LRIT3 - KRT19P3	European	Exercise treadmill test traits
RYR2	European	Exercise treadmill test traits
SDK1 - CYP3A54P	European	Factor VII
EEF1DP6 - LOC284661	European	Factor VII
NEGR1	European	Hemostatic factors and hematological phenotypes
LOC105379119 - TMEM232	European	Hemostatic factors and hematological phenotypes
ITPR2	European	Amyotrophic lateral sclerosis
TRAF1	European	Rheumatoid arthritis
IL23R - RNU4ATAC4P; IL23R; IL23R; IL23R - RNU4ATAC4P; IL23R; C1orf141; IL23R - RNU4ATAC4P; C1orf141; IL23R; IL23R; IL23R; IL23R; IL23R - RNU4ATAC4P; IL23R; IL23R; IL23R	Canadian	Crohn's disease
BCL11A	European	F-cell distribution
LOC107986647 - LOC105378010	European	F-cell distribution
HMGA2	European	Height
"LOXL1, LOXL1-AS1"	European	Glaucoma (exfoliation)
ELMO1	Japanese	Type 2 diabetes nephropathy
PDE4D	European	Neuroticism
IL2RA	European	Multiple sclerosis
IL7R	European	Multiple sclerosis
CLEC16A	European	Multiple sclerosis
"RPL5, FAM69A"	European	Multiple sclerosis
BRINP1	European	Multiple sclerosis
GSDMB	European	Asthma
FTO	Sardinian	Obesity-related traits
BTBD9	European	Restless legs syndrome
MTHFD1L	European	Coronary heart disease
LOC646736 - LOC105373915	European	Coronary heart disease
MEIS1	European	Restless legs syndrome
BTBD9	European	Restless legs syndrome
MAP2K5	European	Restless legs syndrome
ABCG8	European	Gallstone disease
CLEC16A	European	Type 1 diabetes
"CCAT2, CASC8"	European	Colorectal cancer
PITX2 - MIR297	European	Atrial fibrillation/atrial flutter
HNF1B	European	Prostate cancer
CASC17	European	Prostate cancer
IL2 - IL21	European	Celiac disease
PALB2	European	Bipolar disorder
GLTSCR1L	European	Bipolar disorder
LAMP3	European	Bipolar disorder
RNPEPL1	European	Bipolar disorder
CDC25B	European	Bipolar disorder
CDKN2B-AS1 - DMRTA1	European	Coronary heart disease
FMN2	European	Coronary heart disease
SEZ6L	European	Coronary heart disease
CDH13	European	Coronary heart disease
BSN	European	Crohn's disease
IRGM	European	Crohn's disease
LINC01475	European	Crohn's disease
LOC100996324 - PTPN2	European	Crohn's disease
HLA-DQB1 - MTCO3P1	European	Crohn's disease
LOC105373223 - LOC107983951	European	Hypertension
NR2F2-AS1	European	Hypertension
RPS14P10 - RPS15AP22	European	Rheumatoid arthritis
IL2RB - C1QTNF6	European	Rheumatoid arthritis
YRDCP3 - LINC00323	European	Rheumatoid arthritis
ANAPC4	European	Rheumatoid arthritis
RPS26 - ERBB3	European	Type 1 diabetes
NAA25	European	Type 1 diabetes
CLEC16A	European	Type 1 diabetes
CLEC2D - LOC105369652	European	Type 1 diabetes
ADAD1	European	Type 1 diabetes
CDKAL1	European	Type 2 diabetes
FTO	European	Type 2 diabetes
LOC105377097 - LOC105377098	European	Type 2 diabetes
TSPAN8 - LOC105369831	European	Type 2 diabetes
"SLC11A2, HIGD1C"	European	Type 2 diabetes
NAA25	European	Type 1 diabetes
ERBB3	European	Type 1 diabetes
CLEC16A	European	Type 1 diabetes
