REN - KISS1,Finnish,Psychosis proneness (hypomanic personality scale and revised physical anhedonia scale)
LINC00327 - TNFRSF19,Han Chinese,Nasopharyngeal carcinoma
CBL,European,Platelet count
CHRNA5,European,Post bronchodilator FEV1
"TNNI3K, LOC105378803, FPGT-TNNI3K","African American, Filipino",Body mass index in physically active individuals
LOC105371899 - SNHG20,European,Cardiac repolarization
BRD3 - ARF4P1,European,Mean platelet volume
TECRP2 - LOC101927087,European,Major depressive disorder
KIF1B,European,Waist circumference adjusted for BMI (adjusted for smoking behaviour)
WNT3,Ashkenazi Jewish,Parkinson's disease
PDE4D,European,Post bronchodilator FEV1/FVC ratio
APOC1 - APOC1P1,Kosraen,Quantitative traits
FRMD4B - MITF,European,Brain imaging
LOC105376674 - LOC105376679,Han Chinese,Adolescent idiopathic scoliosis
CRY2,European,Fasting glucose-related traits
LOC105369513 - LOC107984393,African American,Late-onset Alzheimer's disease
LOC105377462,European,Post bronchodilator FEV1
MIR3672 - TPT1P13,Han Chinese,Bone mineral density (hip) and age at menarche
ADAMTS17,European,Osteosarcoma
LOC107984238,"African American, European",Asthma
SETP16 - CXCR5,Han Chinese,Primary biliary cholangitis
DPP4,Han Chinese,Rheumatoid arthritis
MORC1,European,Colorectal cancer (diet interaction)
LOC105377703,European,Post bronchodilator FEV1/FVC ratio
C14orf39,European,Refractive error
SH2D6,European,Mean platelet volume
GOSR2,European,Blood pressure
LOC100419639 - LOC101928392,Latin American,White matter microstructure (global fractional anisotropy)
LOC105373592,European,Post bronchodilator FEV1/FVC ratio in COPD
TRIM71 - CCR4 x FAF2 - RNF44,European,Venous thromboembolism (SNP x SNP interaction)
"LOC100506023, TNFSF4",European,Systemic lupus erythematosus
IQGAP2,European,Platelet count
LINC00907,Hispanic,Obesity-related traits
"LOC105371972, LINC01387",European,Hypothyroidism
CADPS2,Brazilian,Ejection fraction in Tripanosoma cruzi seropositivity
RNA5SP56 - PSMC1P12,European,Waist circumference adjusted for body mass index
ADH1B,"African American, European",Alcohol dependence
LOC102723886,"African American, Filipino",Waist-to-hip ratio adjusted for BMI in inactive individuals
LOC107986614 - ELOVL4,European,Daytime sleep phenotypes
NLRP3,European,Granulocyte count
KITLG,European,Testicular germ cell cancer
LOC100507560 - LOC390282,"African American, European",Conduct disorder (symptom count)
ZMIZ1,"African American, Filipino",Waist circumference adjusted for BMI in active individuals
NOS1AP,European,Word reading
RBFOX1,Hispanic,Obesity-related traits
LOC105374974,European,Tourette syndrome
"LOC101928635, LIPC",Han Chinese,HDL cholesterol
EEFSEC,European,Post bronchodilator FEV1/FVC ratio
PCK1,European,Emphysema imaging phenotypes
CCDC15,European,Classic bladder exstrophy
STAT3,European,Pulse pressure
HNF1B,European,Prostate cancer
GATAD2B,European,Life satisfaction
GRB14 - COBLL1,"African American, Filipino",Waist-to-hip ratio adjusted for BMI in inactive individuals
"PHF11, SETDB2-PHF11",Amish,Cardiac hypertrophy
IL6 - RPS26P32,European,Neutrophil percentage of granulocytes
LOC105373926,European,Resting heart rate
LOC100130331 - MTCO1P38,European,Non-alcoholic fatty liver disease histology (AST)
CHMP4C,European,Epithelial ovarian cancer
SBK1,European,Body mass index
HOTTIP,European,Diastolic blood pressure
LOC107986582,European,Lung cancer in ever smokers
MRPL11P2 - LOC105378204,European,Sum basophil neutrophil counts
PRRC2A,European,Menopause (age at onset)
PHACTR1,European,Migraine
LRRC25 - SSBP4,European,Sum basophil neutrophil counts
ALMS1,European,Metabolite levels
SBNO1,European,HDL cholesterol
TGFB2 - LOC105372924,European,Post bronchodilator FEV1
RPL21P93 - LOC107984174,European,Aggressiveness in attention deficit hyperactivity disorder
LOC101929497 - RN7SKP121,European,Post bronchodilator FEV1/FVC ratio
RUNX1 - LOC100506403,European,Rheumatoid arthritis
IL18RAP,European,Blood protein levels
LOC102723879 - LOC102723895,Amish,Matrix metalloproteinase levels
LOC107986647 - LOC105378010,"African American, European",Mean corpuscular volume
"CCDC169-SOHLH2, SOHLH2",European,Economic and political preferences
LOC101927616 - LOC105370066,European,Age-related cataracts (age at onset)
ABCG8,European,LDL cholesterol
NFKBIE - TMEM151B,European,Rheumatoid arthritis
LAPTM4B,European,QT interval
PAH,European,Metabolite levels (small molecules and protein measures)
ATXN2 - BRAP,European,Body mass index
HLA-DQA1 - HLA-DQB1,Han Chinese,Narcolepsy (age of onset)
KCNG4,European,Response to bronchodilator in chronic obstructive pulmonary disease (change in FEV1)
CREB5,European,Serum thyroid-stimulating hormone levels
TRM-CAT4-3 - TRM-CAT4-2,European,Lung cancer
"UGT1A5, UGT1A9, UGT1A6, UGT1A8, UGT1A10, UGT1A4, UGT1A7, UGT1A, UGT1A3",European,Bilirubin levels
LOC102724880,European,High light scatter reticulocyte count
LOC105377516 - MIR4454,European,Hair morphology
SPHKAP,European,Docetaxel-induced peripheral neuropathy in metastatic castrate-resistant prostate cancer
RNU2-48P - MARK2P11,European,IgG glycosylation
TMTC1 - LOC105369715,European,Post bronchodilator FEV1/FVC ratio
DLEU1 - LOC107984568,East Asian,Height
BPTF,European,Sum eosinophil basophil counts
SLC6A13,European,Blood metabolite levels
DAPK3,European,Expressive vocabulary in infants
LOC105372161 - BCL2,European,Chronic lymphocytic leukemia
ARHGAP15,European,Electrodermal activity
MGC57346-CRHR1,European,Bone mineral density (hip)
ART3,Finnish,Monokine induced by gamma interferon levels
LOC102723944,European,Glaucoma (primary open-angle)
NSMAF - LOC105375858,European,Clozapine-induced cytotoxicity
BCL2A1,European,Eosinophil counts
"ERAP1, LOC102724748",European,Inflammatory skin disease
TIAM1,European,Amyotrophic lateral sclerosis
ANKS1B,Finnish,Stem cell growth factor beta levels
MS4A6E - MS4A7,European,Post bronchodilator FEV1
TUFM,European,Body fat percentage
CTNNA3,European,Dental caries
CTNNA3,European,Psoriatic arthritis
ESR1,European,Endometriosis
IKZF3,European,Systemic lupus erythematosus
GOLIM4 - EGFEM1P,European,Thiazide-induced adverse metabolic effects in hypertensive patients
RNA5SP50 - RNU4ATAC8P,European,Lung function (FEV1/FVC)
TGFBR3 - BRDT,European,Lung function (FEV1/FVC)
LRP1B,"African American, Hawaiian",3-hydroxypropylmercapturic acid levels in smokers
MGAT5B,European,Colorectal or endometrial cancer
PTGES3,European,High light scatter reticulocyte percentage of red cells
LOC100131939 - PTGS2,European,Schizophrenia
CCND3,Japanese,Mean corpuscular volume
LOC105373628 - MGAT5,Latin American,Glucose homeostasis traits
MYO1F,European,Waist circumference adjusted for BMI (adjusted for smoking behaviour)
C5orf66,East Asian,Colorectal cancer
"RSPO3, LOC105377989",European,Red blood cell count
CCDC38,European,Pulmonary function
MAPT,European,Plasma t-tau levels
LOC105377366 - LOC105377367,Han Chinese,Myopia (pathological)
ESRRG,European,Photic sneeze reflex
CFI,European,Advanced age-related macular degeneration
FLNB,European,Reticulocyte fraction of red cells
PTPRC,European,Lymphocyte counts
"KCNQ1, KCNQ1OT1",Japanese,Type 2 diabetes
FADS1,European,Metabolite levels
HERPUD1 - CETP,European,Lipid metabolism phenotypes
PRRG4 - QSER1,European,Parkinson's disease (age of onset)
LOC102723724,European,Acute lymphoblastic leukemia (childhood)
GABRG2 - LOC105377697,European,Severe influenza A (H1N1) infection
BMF - MTND5P37,European,Chronic lymphocytic leukemia
LOC101927575,European,Menarche (age at onset)
FAM155B - EDA,European,Primary tooth development (number of teeth)
LOC105373451 - LOC105373454,European,Amyotrophic lateral sclerosis
RNF207,European,QT interval
LOC105369566,European,Response to paliperidone in schizophrenia (negative Marder score)
FTO,"African American, European",Body mass index
APOC1,"African American, Hispanic",Triglycerides
SLCO3A1,"African American, European",Response to iloperidone treatment (QT prolongation)
INSC,Norwegian,Gestational age at birth (maternal effect)
PDE10A,European,Response to fenofibrate
HERPUD1 - CETP,European,Lipid metabolism phenotypes
CDKN2B-AS1 - DMRTA1,European,Type 2 diabetes
LOC105372157 - LINC01544,European,Glomerular filtration rate (creatinine)
CDKN2B-AS1,European,Non-glioblastoma glioma
CASC16,European,Breast cancer
GFI1B - EEF1A1P5,European,Basophil percentage of white cells
CDH13,European,Trans fatty acid levels
LOC105374595 - RPL7P13,Japanese,Adverse response to chemotherapy (neutropenia/leucopenia) (etoposide)
TF,Amish,Hepcidin levels
NSF,European,Epithelial ovarian cancer
LOC100421842 - LOC105373143,European,Basal cell carcinoma
FGFR1OP - CCR6,European,Lung cancer
TMCC2 - NUAK2,European,Mean platelet volume
LOC105377656 - LOC339978,European,High light scatter reticulocyte percentage of red cells
IKZF1,European,Acute lymphoblastic leukemia (B-cell precursor)
TEAD1,European,Educational attainment (years of education)
LOC105373352 - TMEM18,European,Body mass index
HNRNPA1P23 - CSTA,Korean,Calcium levels
RPS27AP14 - LOC102723803,European,Dupuytren's disease
TF,European,Mean corpuscular volume
HMGA2,European,Primary tooth development (time to first tooth eruption)
MRPS18CP4 - RNU6-491P,European,Blood osmolality (transformed sodium)
SCAP,Finnish,Macrophage inflammatory protein 1b levels
OTOGL - PTPRQ,European,Positive affect
SDK1 - CYP3A54P,Hispanic,Obesity-related traits
SPATA6L - CDC37L1-AS1,European,Red blood cell count
BPTF,European,Eosinophil counts
PTCH1,European,Waist circumference adjusted for BMI (adjusted for smoking behaviour)
"GNA12, AMZ1","African American, European",Waist circumference adjusted for body mass index
GRB14 - COBLL1,European,Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour)
KLRD1,European,Thiazide-induced adverse metabolic effects in hypertensive patients
CASC17,European,Prostate cancer
CARM1P1 - LINC01231,Finnish,Interferon gamma levels
LEPR - RN7SL854P,European,Fibrinogen levels
CLOCK,European,Height
HECTD4,East Asian,HDL cholesterol levels
HHIPL1,European,Coronary artery disease
CA1,European,High light scatter reticulocyte count
MEPE - HSP90AB3P,European,Bone mineral density (hip)
CSRNP3 - GALNT3,European,"Bone mineral density (paediatric, lower limb)"
HLA-DRB1 - LOC107986589,Han Chinese,Systemic lupus erythematosus
LOC101928004,European,Waist-to-hip ratio adjusted for body mass index
LINGO2,European,BMI (adjusted for smoking behaviour)
LINC01384,East Asian,Fasting plasma glucose
SUSD2,Han Chinese,Amyotrophic lateral sclerosis
"DSCAML1, LOC105369515",Amish,Triglycerides
PTMA - PDE6D,European,White blood cell count
EBF2,European,Systolic blood pressure
IPO5 - LOC105370328,European,Smooth-surface caries
FTO,European,Subcutaneous adipose tissue
ACOXL,European,Mean corpuscular volume
ZDHHC2,Ashkenazi Jewish,Schizophrenia
NRCAM,European,White matter hyperintensity burden
RPL12P7 - LOC105370547,European,Myeloid white cell count
ADGRB3,European,Response to statin therapy
SUMO2P1 - MOG,European,Migraine without aura
PTTG1 - MIR3142HG,European,Systemic lupus erythematosus
MAST4,Finnish,Interleukin-1-beta levels
LOC100505851 - RNA5-8SP4,European,Testicular germ cell tumor
COL5A2,Han Chinese,Parkinson's disease
PPIL3,European,Breast cancer (estrogen-receptor negative)
CHRM3,Hispanic,Obesity-related traits
HLA-DRB1 - LOC107986589,European,Childhood ear infection
BRD3,European,Neutrophil count
SNX13 - RNMTL1P2,European,Fibrinogen
